SYMBOL,Pattern
KPEL,Small Doji
KPIGREEN,Small Doji
KPRMILL,Small Doji
KRBL,Small Doji
KRITI,Small Doji
KROSS,Small Doji
LANDMARK,Small Doji
LATTEYS,Small Doji
LAXMIINDIA,Small Doji
LIBAS,Small Doji
LIBERTSHOE,Small Doji
LINC,Small Doji
LIQUID,Small Doji
LIQUID1,Small Doji
LIQUIDBEES,Small Doji
LIQUIDIETF,Small Doji
LIQUIDSBI,Small Doji
LOWVOLIETF,Small Doji
LUXIND,Small Doji
M&M,Small Doji
MAHAPEXLTD,Small Doji
MAHEPC,Small Doji
MAITHANALL,Small Doji
MANCREDIT,Small Doji
MANINFRA,Small Doji
MASKINVEST,Small Doji
MAXIND,Small Doji
MAYURUNIQ,Small Doji
MAZDA,Small Doji
MBEL,Small Doji
MCLEODRUSS,Small Doji
METROPOLIS,Small Doji
MID150CASE,Small Doji
MINDACORP,Small Doji
MITTAL,Small Doji
MMP,Small Doji
MOBIKWIK,Small Doji
MODTHREAD,Small Doji
MOIPO,Small Doji
MOLDTECH,Small Doji
MONIFTY500,Small Doji
MOQUALITY,Small Doji
MOREALTY,Small Doji
MOSERVICE,Small Doji
MOSILVER,Small Doji
MOSMALL250,Small Doji
MOTILALOFS,Small Doji
MSCIINDIA,Small Doji
MSTCLTD,Small Doji
MUFTI,Small Doji
MUKKA,Small Doji
MUKTAARTS,Small Doji
MURUDCERA,Small Doji
MUTHOOTMF,Small Doji
NACLIND,Small Doji
NDTV,Small Doji
NESTLEIND,Small Doji
NIACL,Small Doji
NIBE,Small Doji
NIBL,Small Doji
NIFTY100EW,Small Doji
NIFTYBEES,Small Doji
NIFTYCASE,Small Doji
NILKAMAL,Small Doji
NINSYS,Small Doji
NPBET,Small Doji
NSLNISP,Small Doji
NUVAMA,Small Doji
NUVOCO,Small Doji
OIL,Small Doji
ORBTEXP,Small Doji
ORIENTHOT,Small Doji
OSWALGREEN,Small Doji
OSWALSEEDS,Small Doji
PARKHOTELS,Small Doji
PATELENG,Small Doji
PEARLPOLY,Small Doji
PIGL,Small Doji
PILITA,Small Doji
PIONEEREMB,Small Doji
PIRAMALFIN,Small Doji
PLATIND,Small Doji
PNC,Small Doji
PODDARMENT,Small Doji
PPL,Small Doji
PRUDENT,Small Doji
PSPPROJECT,Small Doji
PTC,Small Doji
PTCIL,Small Doji
PUNJABCHEM,Small Doji
PYRAMID,Small Doji
QUADFUTURE,Small Doji
QUALITY30,Small Doji
RADAAN,Small Doji
RAJRATAN,Small Doji
RAJTV,Small Doji
RAMKY,Small Doji
RATNAVEER,Small Doji
REFEX,Small Doji
RELCHEMQ,Small Doji
RELTD,Small Doji
RENUKA,Small Doji
REPCOHOME,Small Doji
REPRO,Small Doji
RHETAN,Small Doji
RHIM,Small Doji
RIIL,Small Doji
ROHLTD,Small Doji
ROTO,Small Doji
RPPL,Small Doji
RPTECH,Small Doji
SALASAR,Small Doji
SANDUMA,Small Doji
SAREGAMA,Small Doji
SBIETFCON,Small Doji
SBILIQETF,Small Doji
SEMAC,Small Doji
SENSEXBETA,Small Doji
SGIL,Small Doji
SHAILY,Small Doji
SHANTIGEAR,Small Doji
SHEMAROO,Small Doji
SHK,Small Doji
SIGACHI,Small Doji
SIKKO,Small Doji
SIL,Small Doji
SILGO,Small Doji
SILINV,Small Doji
SILVER,Small Doji
SILVER360,Small Doji
SILVERADD,Small Doji
SILVERAG,Small Doji
SILVERBEES,Small Doji
SILVERBND,Small Doji
SILVERCASE,Small Doji
SILVERIETF,Small Doji
SINCLAIR,Small Doji
SIRCA,Small Doji
SKFINDUS,Small Doji
SKIPPER,Small Doji
SMALL250,Small Doji
SMALLCAP,Small Doji
SMCGLOBAL,Small Doji
SML100CASE,Small Doji
SMLT,Small Doji
SOBHA,Small Doji
SOMANYCERA,Small Doji
SPIC,Small Doji
SPLIL,Small Doji
STAR,Small Doji
STARCEMENT,Small Doji
STARTECK,Small Doji
STLNETWORK,Small Doji
STYL,Small Doji
STYRENIX,Small Doji
SUBEXLTD,Small Doji
SUDARSCHEM,Small Doji
SUNTECK,Small Doji
SUPRAJIT,Small Doji
SURAJEST,Small Doji
SURAKSHA,Small Doji
SWELECTES,Small Doji
TAJGVK,Small Doji
TATACAP,Small Doji
TEXMOPIPES,Small Doji
THOMASCOTT,Small Doji
TIGERLOGS,Small Doji
TNPETRO,Small Doji
TOTAL,Small Doji
TRIDENT,Small Doji
TRITURBINE,Small Doji
TSFINV,Small Doji
TVSSRICHAK,Small Doji
UCAL,Small Doji
UMIYA-MRO,Small Doji
UNIVCABLES,Small Doji
USHAMART,Small Doji
UTIAMC,Small Doji
UTKARSHBNK,Small Doji
V2RETAIL,Small Doji
VAIBHAVGBL,Small Doji
VALIANTLAB,Small Doji
VINATIORGA,Small Doji
VIVIDHA,Small Doji
VPRPL,Small Doji
VRAJ,Small Doji
VRLLOG,Small Doji
WCIL,Small Doji
WELSPUNLIV,Small Doji
WILLAMAGOR,Small Doji
WINDMACHIN,Small Doji
WOCKPHARMA,Small Doji
WORTHPERI,Small Doji
YUKEN,Small Doji
ZENTEC,Small Doji
ZFCVINDIA,Small Doji
ZUARIIND,Small Doji
